Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,47.0172,7396,Fourier Transform,NCE 24±3 %,MS2,0,None,35.77001,150,544.96252,1632.87302,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.0798,7407,Fourier Transform,NCE 27±3 %,MS2,0,None,42.17811,150,408.97406,1632.87441,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.0842,7408,Fourier Transform,NCE 27±6 %,MS2,0,None,42.17811,150,408.97406,1632.87441,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.0873,7409,Fourier Transform,NCE 24±3 %,MS2,0,None,42.17811,150,408.97406,1632.87441,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.1113,7414,Fourier Transform,NCE 27±3 %,MS2,0,None,5.288255,150,642.07721,2565.28701,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.1157,7415,Fourier Transform,NCE 27±6 %,MS2,0,None,5.288255,150,642.07721,2565.28701,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.1188,7416,Fourier Transform,NCE 24±3 %,MS2,0,None,5.288255,150,642.07721,2565.28701,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.1158,7574,Fourier Transform,NCE 27±3 %,MS2,0,None,24.992,150,673.32959,2690.29653,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.1202,7575,Fourier Transform,NCE 27±6 %,MS2,0,None,24.992,150,673.32959,2690.29653,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.1233,7576,Fourier Transform,NCE 24±3 %,MS2,0,None,24.992,150,673.32959,2690.29653,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.3864,7619,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,673.3299,2690.29775,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.3908,7620,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,673.3299,2690.29775,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.3939,7621,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,673.3299,2690.29775,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.7285,7675,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,642.07739,2565.28774,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.733,7676,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,642.07739,2565.28774,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.7361,7677,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,642.07739,2565.28774,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.7405,7679,Fourier Transform,NCE 27±3 %,MS2,0,None,62.37788,150,474.98752,1896.92824,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,48.745,7680,Fourier Transform,NCE 27±6 %,MS2,0,None,62.37788,150,474.98752,1896.92824,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
